iter	Passed	Remaining
467	706	803
468	707	801
469	708	799
470	709	797
471	710	795
472	711	793
473	712	791
474	713	789
475	715	787
476	716	785
477	717	783
478	718	780
479	718	778
480	719	776
481	720	774
482	721	772
483	722	770
484	723	768
485	724	766
486	725	764
487	726	762
488	727	760
489	729	758
490	730	757
491	731	755
492	732	753
493	733	751
494	734	749
495	735	747
496	736	745
497	737	743
498	738	741
499	739	739
500	740	737
501	741	735
502	743	734
503	744	732
504	745	730
505	746	728
506	747	726
507	748	724
508	749	722
509	750	720
510	751	718
511	752	717
512	753	715
513	754	713
514	755	711
515	756	709
516	757	707
517	758	705
518	759	703
519	760	701
520	761	700
521	762	698
522	763	696
523	764	694
524	765	692
525	766	690
526	767	688
527	768	687
528	769	685
529	770	683
530	771	681
531	772	679
532	773	677
533	774	676
534	776	674
535	777	672
536	778	670
537	778	668
538	779	667
539	780	665
540	781	663
541	782	661
542	783	659
543	784	657
544	785	656
545	786	654
546	787	652
547	788	650
548	789	648
549	791	647
550	792	645
551	793	643
552	794	641
553	795	640
554	796	638
555	797	636
556	798	634
557	799	633
558	800	631
559	801	629
560	802	627
561	803	626
562	804	624
563	805	622
564	806	621
565	807	619
566	808	617
567	809	615
568	810	614
569	811	612
570	812	610
571	813	608
572	814	607
573	815	605
574	816	603
575	817	601
576	818	600
577	819	598
578	821	597
579	822	595
580	823	593
581	824	591
582	825	590
583	826	588
584	827	586
585	828	585
586	829	583
587	830	581
588	831	580
589	832	578
590	833	576
591	834	575
592	835	573
593	836	571
594	837	570
595	838	568
596	839	567
597	841	565
598	841	563
599	842	561
600	844	560
601	844	558
602	845	556
603	846	555
604	847	553
605	848	551
606	850	550
607	851	548
608	852	547
609	853	545
610	854	543
611	855	542
612	856	540
613	857	539
614	858	537
615	859	535
616	860	534
617	861	532
618	862	530
619	863	529
620	864	527
621	865	526
622	866	524
623	867	523
624	868	521
625	869	519
626	870	518
627	871	516
628	872	514
629	873	513
630	874	511
631	875	509
632	876	508
633	877	506
634	878	505
635	879	503
636	881	502
637	882	500
638	883	498
639	884	497
640	885	495
641	885	494
642	886	492
643	887	490
644	888	489
645	890	487
646	891	486
647	892	484
648	893	482
649	894	481
650	895	479
651	896	478
652	897	477
653	898	475
654	899	473
655	900	472
656	901	470
657	902	469
658	903	467
659	904	466
660	905	464
661	906	462
662	907	461
663	908	459
664	909	458
665	911	456
666	912	455
667	913	453
668	914	452
669	915	450
670	916	449
671	917	447
672	918	446
673	919	444
674	919	442
675	920	441
676	921	439
677	922	438
678	923	436
679	924	435
680	926	434
681	927	432
682	928	430
683	929	429
684	930	427
685	931	426
686	932	424
687	933	423
688	934	421
689	935	420
690	936	418
691	937	417
692	938	415
693	939	414
694	940	412
695	942	411
696	943	410
697	944	408
698	945	407
699	946	405
700	947	404
701	948	402
702	949	401
703	950	399
704	951	398
705	952	396
706	953	395
707	954	393
708	955	392
709	956	390
710	957	389
711	958	387
712	959	386
713	960	384
714	961	383
715	962	381
716	963	380
717	964	378
718	965	377
719	966	376
720	968	374
721	969	373
722	970	371
723	971	370
724	972	368
725	974	367
726	975	366
727	976	364
728	977	363
729	978	361
730	979	360
731	980	358
732	980	357
733	981	355
734	983	354
735	984	352
736	985	351
737	986	350
738	987	348
739	988	347
740	989	345
741	990	344
742	991	343
743	992	341
744	993	340
745	995	338
746	996	337
747	997	336
748	998	334
749	1001	333
750	1002	332
751	1004	331
752	1005	329
753	1006	328
754	1007	327
755	1008	325
756	1009	324
757	1010	322
758	1011	321
759	1012	319
760	1013	318
761	1014	317
762	1016	315
763	1017	314
764	1018	312
765	1019	311
766	1020	309
767	1021	308
768	1022	307
769	1023	305
770	1024	304
771	1025	302
772	1027	301
773	1028	300
774	1029	298
775	1030	297
776	1032	296
777	1033	294
778	1034	293
779	1035	292
780	1037	290
781	1038	289
782	1039	288
783	1040	286
784	1041	285
785	1042	283
786	1043	282
787	1044	280
788	1045	279
789	1046	278
790	1048	276
791	1049	275
792	1050	274
793	1051	272
794	1052	271
795	1053	269
796	1054	268
797	1055	267
798	1056	265
799	1057	264
800	1058	263
801	1059	261
802	1061	260
803	1063	259
804	1064	257
805	1065	256
806	1066	254
807	1066	253
808	1068	252
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1072	245
814	1073	243
815	1074	242
816	1076	241
817	1077	239
818	1078	238
819	1079	236
820	1080	235
821	1081	234
822	1082	232
823	1083	231
824	1084	230
825	1085	228
826	1086	227
827	1087	225
828	1088	224
829	1089	223
830	1090	221
831	1091	220
832	1093	219
833	1094	217
834	1095	216
835	1096	215
836	1097	213
837	1097	212
838	1098	210
839	1099	209
840	1100	208
841	1101	206
842	1102	205
843	1104	204
844	1105	202
845	1107	201
846	1108	200
847	1109	198
848	1110	197
849	1111	196
850	1112	194
851	1113	193
852	1114	192
853	1115	190
854	1116	189
855	1117	187
856	1118	186
857	1119	185
858	1120	183
859	1121	182
860	1122	181
861	1123	179
862	1124	178
863	1125	177
864	1126	175
865	1127	174
866	1128	173
867	1129	171
868	1130	170
869	1131	169
870	1132	167
871	1133	166
872	1134	165
873	1135	163
874	1137	162
875	1138	161
876	1139	159
877	1140	158
878	1141	157
879	1143	155
880	1144	154
881	1145	153
882	1146	151
883	1147	150
884	1148	149
885	1149	147
886	1150	146
887	1151	145
888	1153	143
889	1154	142
890	1155	141
891	1156	139
892	1157	138
893	1158	137
894	1159	135
895	1160	134
896	1161	133
897	1162	131
898	1163	130
899	1163	129
900	1164	128
901	1165	126
902	1167	125
903	1168	124
904	1169	122
905	1170	121
906	1171	120
907	1172	118
908	1173	117
909	1174	116
910	1175	114
911	1176	113
912	1177	112
913	1178	110
914	1179	109
915	1180	108
916	1181	106
917	1183	105
918	1184	104
919	1185	103
920	1186	101
921	1187	100
922	1188	99
923	1189	97
924	1190	96
925	1190	95
926	1191	93
927	1192	92
928	1193	91
929	1194	89
930	1195	88
931	1197	87
932	1198	86
933	1199	84
934	1200	83
935	1201	82
936	1202	80
937	1203	79
938	1204	78
939	1205	76
940	1206	75
941	1207	74
942	1208	73
943	1209	71
944	1210	70
945	1211	69
946	1212	67
947	1213	66
948	1214	65
949	1215	63
950	1216	62
951	1217	61
952	1218	60
953	1219	58
954	1220	57
955	1221	56
956	1222	54
957	1223	53
958	1224	52
959	1225	51
960	1227	49
961	1228	48
962	1229	47
963	1230	45
964	1231	44
965	1232	43
966	1233	42
967	1234	40
968	1235	39
969	1236	38
970	1237	36
971	1238	35
972	1239	34
973	1240	33
974	1241	31
975	1243	30
976	1244	29
977	1245	28
978	1246	26
979	1247	25
980	1248	24
981	1248	22
982	1249	21
983	1250	20
984	1251	19
985	1252	17
986	1253	16
987	1254	15
988	1255	13
989	1256	12
990	1258	11
991	1259	10
992	1260	8
993	1261	7
994	1262	6
995	1263	5
996	1264	3
997	1265	2
998	1266	1
999	1267	0
